- aadressite õigsus |+ aadresside õigsus
- teatrialtite tüdrukute |+ teatrialdiste tüdrukute
+ pandi uut asfalti |- pandi uut asfaldit
- baarmenide võistlus |+ baarmenite võistlus
- toidus kasutati basiilikat |+ toidus kasutati basiilikut
+ jälgiti börsi |- jälgiti börssi
- andekaid doktorande |+ andekaid doktorante
+ duši all |- dušši all
- kolm eelnõud |+ kolm eelnõu
+ ettevõtete kasum |- ettevõttete kasum
- gepardide hüpped |+ gepardite hüpped
+ värisevate lehtedega haavad | - värisevate lehtedega haabad
- nauditi hüvesi |+ nauditi hüvesid
+ jogurti maitse |- jogurdi maitse
